ReporterName,PartnerName,TradeFlow,year_1992,year_1993,year_1994,year_1995,year_1996,year_1997,year_1998,year_1999,year_2000,year_2001,year_2002,year_2003,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019,year_2020
Australia,"Korea, Rep.",Import,1077377.363,1222499.274,1243342.224,1606200.878,1765770.534,2119081.777,2567354.091,2453631.425,2936882.11,2516281.04,2716634.178,3227695.491,3805348.294,4148449.571,5451303.5,5227401.768,5730763.481,5293359.763,6889100.196,7352557.482,10201261.84,9422431.785,10614475.07,10895840.48,8099729.825,15892262.74,10182484.35,8636986.948,6549987.327
Australia,Malaysia,Import,699031.148,697335.521,881955.565,1140205.868,1317985.449,1526346.269,1676122.626,2062571.668,2590675.807,2120764.756,2221990.752,2951506.024,4280577.606,4832416.76,5258620.967,6376347.658,7870858.577,5961526.537,8562455.931,8779593.057,9928190.583,8846117.641,10036755.88,7391929.296,6912293.944,8632210.572,9912706.201,7800406.65,6913437.053
Australia,Singapore,Import,936019.562,1045594.77,1450653.048,1784022.691,1985246.205,1774071.454,1641109.548,2620046.07,2234450.518,2138126.581,2425588.9,3031477.624,4796864.096,6902212.946,8433882.12,9182734.39,14230994.42,8792367.339,10079072.91,14596108.72,15010975.33,12144185.12,11396038.07,6959026.556,5219371.655,6377954.538,8822141.355,7489223.355,5680889.604
Australia,Thailand,Import,502957.283,498956.675,623394.687,721448.286,815966.619,943605.928,990902.956,1378287.985,1728716.968,1472300.167,1797629.228,2469927.32,2926615.745,3866691.552,4929114.883,6896807.214,8955745.211,9303742.541,10513320.54,8710152.142,10534076.26,10672585.81,9844415.982,10197010.74,10872745.34,11073613.83,11523927.64,10667031.02,10216054
Australia,United States,Import,8947909.633,8899192.629,10848514.03,12256843.95,14052516.8,13370046.02,13290928.2,13422407.91,14255578.35,11729045.53,13340675.5,14194301.26,16111106.63,17460413.22,19664100.04,21252491.89,24256280.1,18669858.04,22561955.88,26797968.73,29386824.37,23820298.82,24148859.08,22560990.95,21703311.76,23612147.22,24664657.73,26226410.26,25141626.46
Australia,Vietnam,Import,148082.915,170807.394,212079.062,212586.623,307563.379,434177.396,477774.184,859365.145,1317733.837,1174898.75,1308110.898,1603544.19,1938897.499,2727497.414,3920750.729,3968043.307,4591017.957,2562507.851,2979042.723,2916414.824,3263306.639,3665514.118,4462048.058,3354368.393,3332260.132,3944661.984,4679122.843,4301364.239,4494680.553
Australia,China,Export,1160841.096,1194150.252,1428373.441,1798172.822,2067519.857,2465619.773,1982964.006,2240832.891,3474454.84,3917959.221,4557230.826,5922090.733,8094988.089,12302482.05,15356473.03,19967513.85,27225181.98,33389244.43,53740402.58,73804136.77,75836312.26,87311419.33,81413612.52,61012456.21,59992749.59,68471063.55,87726224.73,102995845.3,100085567.8
Australia,Germany,Export,729688.356,588031.04,677946.815,757102.878,774019.03,749268.887,820643.521,780821.241,751902.757,752961.734,867382.268,831655.308,966023.162,1031911.616,1037151.576,1126056.378,1547095.73,1032357.985,1429329.689,1960247.14,1678364.468,1374827.825,1225253.713,1120757.9,1332603.529,1546892.222,1661255.421,1703920.091,2048237.038
Australia,Japan,Export,10125281.74,9846658.481,10921610.4,10731914.79,10097623.8,10281915.62,9111002.73,9069322.835,12600200.04,12255376.78,12064745.59,12820286.55,16314188.93,21703963.59,24446819.84,26801195.52,42731584.69,30014166.31,40088026.97,52088075.6,49680326.91,31251833.52,43135786.66,29826962.03,26344514.68,24179668.82,41355759.25,39454955.16,30332326.28
Australia,"Korea, Rep.",Export,2441328.575,2600675.979,3075311.274,4037321.094,5405774.903,4415983.763,3295680.3,3449699.996,5230432.979,4925112.283,5431902.055,5267085.798,6740744.374,8359626.573,9310297.479,11306984.93,15485801.53,12281988.99,18829447.71,24008837.1,20540980.53,17710695.42,17891713.8,13299325.02,12770223.38,13232652.5,17745603.69,17463868.87,15920452.74
Australia,Malaysia,Export,652995.105,813922.199,1176412.066,1354875.789,1542652.938,1513325.099,829508.315,954472.561,1366546.748,1339129.678,1247858.904,1354816.243,1784668.139,1917088.198,2135958.282,2644931.363,3361561.022,2457131.013,3347100.138,4638582.871,5256062.099,4457749.708,5431981.957,3424096.412,3504835.402,3400838.202,5525384.104,6183516.77,4842732.12
Australia,Singapore,Export,2696563.783,2155562.723,2433738.22,2758781.208,2427484.465,2791261.132,2003862.663,2581174.41,3386434.62,2764992.78,2697271.282,2283471.228,2388142.966,3020183.713,3436779.65,3416830.974,5154094.662,4202532.78,4453662.064,6580458.204,7374403.923,5227306.62,7609098.937,5092143.034,4115666.556,3616274.164,7327463.3,8371746.646,8539178.566
Australia,Thailand,Export,742041.226,811508.094,966957.022,1222473.297,1219370.4,1125922.339,725413.075,860715.667,1132558.119,1183413.089,1365407.847,1467232.983,2249095.835,3149680.868,3225454.714,3704825.686,4489010.982,3325575.687,5385844.76,6991417.753,5043884.662,4700538.459,4637086.023,3251688.235,2640641.524,3055521.083,4882873.977,3062922.806,2759028.392
Australia,United States,Export,2824406.788,2698285.472,2778133.661,2635123.555,2980450.888,3659862.653,4397405.94,4536709.947,6343590.179,6170683.106,6308651.583,6158398.175,7009494.672,7069127.457,7583156.63,8417109.882,10184268.12,7467440.941,8430740.965,9844790.81,9515734.602,7603068.416,9943289.722,9977449.262,8761918.095,8434026.568,9552813.996,10170511.49,12989921.36
Australia,Vietnam,Export,28694.08,66071.68,72285.9,113189.031,140040.973,133829.909,185742.212,160189.264,264305.756,258294.488,272554.524,276434.633,491317.164,509627.346,1195356.674,1189990.163,1347628.235,1087689.116,1400160.366,2111142.3,1848743.755,2027473.865,2746189.081,2610552.656,2786239.881,3512532.389,3708219.533,4205898.829,4419669.327
